method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
bp_backtrack,tree,duplicate,4,async,0,0.17896364021297845,0.3899660936696578,80136.90227985092,0.0,210054.5527865521,221918.83997866587,27.41276281652047,3.6736424324257597,6.218030450122303
bp_cavity,tree,duplicate,4,async,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
bp_trw,tree,duplicate,4,async,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
ec_exact,tree,duplicate,4,lossy,0,0.36189657593976565,3.0816482718331e-16,1.037924584497183,1.0,0.9999999999999998,5.810948695808961e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
naive_sum,tree,duplicate,4,lossy,0,0.12508793107607424,0.3768989156185962,11741095.61061605,0.0,57670337.715623476,60334466.57832222,38.521358075792406,3.6736424324257597,6.138968158433364
mean_pool,tree,duplicate,4,lossy,0,1.051206556225522,0.6960289285243337,5.7009340988965835,1.0,0.21959726451160944,0.7978276886583202,0.7652486141694289,3.6736424324257597,0.030273419137861968
cov_int,tree,duplicate,4,lossy,0,0.9594242348508228,0.6083894960606648,5.221494991893483,1.0,0.23536524116856838,0.7916588389159896,0.9089400774288248,3.6736424324257597,3.176274944238777e-05
inv_cov_int,tree,duplicate,4,lossy,0,0.9645678279371168,0.637885579676315,5.047253511043667,0.84375,0.3083528123658157,0.7017792518512372,1.2965455994563864,3.6736424324257597,0.19811758134821478
bp_backtrack,tree,duplicate,4,lossy,0,0.13554931415926852,0.38579602285905934,36795.164768132316,0.0,131407.16807968018,135883.8701224688,26.608818536290116,3.6736424324257597,5.661738638651553
bp_cavity,tree,duplicate,4,lossy,0,0.13916392767062225,0.2350871094378288,-1.8499017872709798,1.0,3.5564288053615583,2.617182543574673,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
bp_trw,tree,duplicate,4,lossy,0,0.13916392767062225,0.2350871094378288,-1.8499017872709798,1.0,3.5564288053615583,2.617182543574673,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
ec_exact,tree,duplicate,4,delayed,0,0.36189657593976565,3.5059418613005506e-16,1.0379245844971832,1.0,1.0,5.637114637714095e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
naive_sum,tree,duplicate,4,delayed,0,0.2113649356131715,0.3627706779588951,82829.96115667313,0.0,167761.8617996025,181707.76265208932,26.91243148085054,3.6736424324257597,4.778262990048692
mean_pool,tree,duplicate,4,delayed,0,1.059404088104708,0.7020711244001675,5.791976501535828,1.0,0.21539109057334907,0.8005988906926484,0.7219443886385143,3.6736424324257597,0.05027626296329757
cov_int,tree,duplicate,4,delayed,0,0.9808231533357793,0.6296595402004879,5.301890754164251,1.0,0.23497396472798732,0.7903145597558044,0.9068811219275974,3.6736424324257597,0.002551730720621981
inv_cov_int,tree,duplicate,4,delayed,0,0.757700892205698,0.41680515303157295,4.660046524332854,0.9375,0.29445690435623784,0.7344410142702056,1.2537606313554202,3.6736424324257597,0.2942674801732148
bp_backtrack,tree,duplicate,4,delayed,0,0.17896364021297845,0.3899660936696578,80136.90227985092,0.0,210054.5527865521,221918.83997866587,27.41276281652047,3.6736424324257597,6.218030450122303
bp_cavity,tree,duplicate,4,delayed,0,0.1391639276706226,0.23508710943782823,-1.8499017872709784,1.0,3.5564288053615587,2.6171825435746725,6.166638193953794,3.6736424324257597,2.6645352591003757e-15
