seed,method,multiplier,arm,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
1,bp_backtrack,4,replacement,0.2972697169802345,0.21602233668860998,7.023509326846636e+18,0.0,1.4785434107358497e+18,1.4945931615272397e+18,90.1379962062021,6.496503540054627,0.4915487764820483
1,bp_cavity,4,duplicate,0.4583823220094873,0.33391032345086513,2415155072106280.5,0.0,828916300747299.4,846438498815318.9,72.9524235024871,4.314616425060151,0.2514938084579512
1,bp_cavity,4,replacement,0.2735713098339947,0.1798753412332331,919624150593594.9,0.0,222784908212512.12,224554911707905.62,72.54685766281247,6.496503540054627,0.4074334496241221
1,bp_trw,4,duplicate,0.43032700677868596,0.2932847393773629,144324.17044427042,0.0,56468.22767529535,57519.46719556379,26.14351028886231,4.314616425060151,0.08433512532687004
1,bp_trw,4,replacement,0.22382272886289564,0.07903827819771737,44191.74970509317,0.0,15176.776094195524,15207.66894696557,25.746304847490855,6.496503540054627,0.13614493058522825
1,ec_exact,8,duplicate,0.3646561367283617,1.4113344979852808e-15,1.5582215672456174,1.0,1.0,7.434290540714455e-16,4.3146164250601515,4.314616425060151,3.552713678800501e-15
1,ec_exact,8,replacement,0.12366939957402476,1.5562579159119159e-15,-2.557057541638092,1.0,1.0000000000000009,1.1475966692565412e-15,7.683199006360633,7.683199006360631,2.6645352591003757e-15
1,naive_sum,8,duplicate,0.4267997342329517,0.2880904769533973,5.231029859498917e+21,0.0,2.0830546477506243e+21,2.1212003637344954e+21,102.43822349879227,4.314616425060151,3.0974844378306443e-07
1,naive_sum,8,replacement,0.13470855790420327,0.034222097865576014,4.678606583408793e+20,0.0,2.8483395038069162e+20,2.8491465014051357e+20,101.87948715955567,7.683199006360631,2.2816243472334463e-07
1,mean_pool,8,duplicate,0.9734692053185825,0.8370225463027807,5.427940772401971,1.0,0.1798902711119411,0.8351279007961045,1.0329432323245742,4.314616425060151,1.8387824596288738e-08
1,mean_pool,8,replacement,0.9788964279462589,0.9897062420137277,5.684747650100915,1.0,0.03151260284018516,0.9687617910662878,0.7802434120081709,7.683199006360631,3.737541676152034e-08
1,cov_int,8,duplicate,0.8830633096024036,0.7890242115818055,5.144161585223831,1.0,0.20371365933919894,0.8126861958406878,1.2551126821192926,4.314616425060151,2.886579864025407e-15
